,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
231,28.6,36.2,22.3,38,0,6.9,2.4,5.4,81.83333333333333
232,28.5,36.4,22.6,47,0,6.9,4.3,7.6,105.33333333333333
233,25.7,36.4,20.4,59,8.89,6.6,3.9,5.4,117.75
234,27.1,34.5,22.3,59,0,6.9,3,3.5,84.5
235,27.7,34.5,23.1,56,5.08,6.9,2.8,7.6,46.916666666666664
236,27.6,34,22.7,56,0,6.9,3,5.4,104.625
237,28.6,35.4,22.2,47,0.51,6.9,2.4,5.4,110.875
238,28.7,35.5,23.4,36,0,6.9,1.9,3.5,42.958333333333336
239,28.7,35.5,21.5,34,0,7.7,1.5,5.4,0.0
240,29.8,36.5,23.8,53,0,7.7,3.3,5.4,120.875
241,29.6,36.5,24.7,52,0,6.9,1.9,3.5,79.91666666666667
242,29.3,36.3,24.8,49,0,6.9,2.8,3.5,0.0
243,28.8,36,24.2,50,0,6.9,3.9,5.4,94.75
244,28.6,35.8,24.6,50,0.51,6.3,3.9,7.6,142.5
245,27.8,35.8,20,56,0,6.9,3.1,7.6,133.375
246,24.5,30.6,21.4,76,2.03,7.7,5.2,7.6,147.83333333333334
247,22.8,26.7,21,86,0,6.3,5.2,5.4,158.29166666666666
248,24.1,28.3,20.5,78,6.6,6.9,4.6,7.6,149.58333333333334
249,27.4,35.6,23.8,60,0.25,6.9,3.9,7.6,101.5
250,28.8,35.6,22.8,47,0,6.9,4.1,7.6,106.5
251,28.6,35.5,22.8,49,0,6.9,3.9,5.4,128.125
252,28.4,35.5,23.6,56,0,7.7,3.7,14.8,101.95833333333333
253,25.8,33.9,21.4,71,4.06,6.9,1.5,5.4,98.41666666666667
254,26.3,33,21.2,65,0,7.4,4.3,7.6,94.375
255,26.4,35.2,18.9,62,9.4,9.2,4.4,5.4,107.625
256,27.8,34.4,22.2,61,0,7.7,2.4,5.4,110.41666666666667
257,28.1,35,22.3,57,0,7.4,3.3,5.4,72.25
258,27.6,35,20.1,60,13.72,6.9,3.9,5.4,38.666666666666664
259,25.9,34.5,20.4,70,0,6.9,4.6,7.6,45.375
260,24.5,29.2,20,75,0,6.9,2.8,3.5,65.16666666666667
261,25.9,31.2,22.2,72,0,7.7,6.1,11.1,66.08333333333333
262,25.9,31.3,20.9,73,0,6.9,7.4,9.4,77.66666666666667
263,24.6,31.3,22.2,74,0,6.9,9.4,22.2,70.25
264,25.4,30.2,21.4,67,0,9.2,8.9,9.4,77.0
265,25.2,31,21.6,71,0,7.7,9.3,14.8,32.958333333333336
266,24.4,29.4,20.8,72,0,6.9,9.8,11.1,80.625
267,24.7,29.2,21.2,71,0,7.4,9.1,11.1,90.70833333333333
268,25.3,30.4,21.2,69,0,6.6,8.7,11.1,97.29166666666667
269,26,32,21.4,61,0,6.9,5.7,7.6,50.708333333333336
270,26.6,33,21.4,60,0,6.9,4.3,5.4,40.375
271,27.4,33.6,22.2,58,0,7.7,2.4,3.5,49.416666666666664
272,24.9,31.3,21.1,75,22.61,6.9,5.9,9.4,61.875
273,25.4,30.6,21.8,69,0,6.9,5.2,7.6,0.0
274,25.5,30.8,20.8,64,0,6.9,6.9,14.8,29.666666666666668
275,23.1,27.5,20.8,81,1.02,6.9,6.3,11.1,49.125
276,22.6,27.5,20.3,82,0,6.9,5.2,9.4,43.666666666666664
277,22.7,28.6,19.9,83,1.02,6.9,5.6,7.6,29.833333333333332
